STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1978,,1.26098902945917,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1979,,0.374702853547237,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1980,,-0.752457266959849,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1981,,1.37050550824589,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1982,,-1.05758938612687,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1983,,3.2327715700764,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1984,,3.05813918140403,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1985,,2.09979362230019,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1986,,1.18090289996686,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1987,,0.877716184945965,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1988,,1.97610365577565,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1989,,1.63929717338658,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,USA,United States,A,Annual,GDPEMP,GDP per person employed,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1990,,0.723444359479397,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,MEX,Mexico,A,Annual,GDP,Gross domestic product,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1992,,3.62865878195273,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,MEX,Mexico,A,Annual,GDP,Gross domestic product,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1993,,3.30538582097788,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2012,,1.59609208438771,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2013,,2.5134364983131,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2014,,2.28903620647829,,A,Normal value,0,Units,,,2,Two
